id,text
1,"Check out this cool video about machine learning https://example.com #machinelearning #AI"
2,"Just finished reading a great book on data science #datascience #books"
3,"I love using Python for data analysis and visualization #python #dataanalysis #datavisualization"
4,"Excited to attend the upcoming conference on AI and Machine Learning #AI #machinelearning #conference"
5,"The new version of TensorFlow is out now #tensorflow #machinelearning"
6,"Data is the new oil #data #bigdata #analytics"
7,"I hate it when my machine learning model doesn't converge #machinelearning #modeling"
8,"I just attended an amazing workshop on data visualization #datavisualization #workshops"
9,"Big data is changing the world #bigdata #analytics #datascience"
10,"Check out my latest blog post on the applications of machine learning #machinelearning #applications #blog"
